namc_code,term_english,term_sanskrit
EC-6,Amavata,amāvāta
EF-2.4.4,Madhumeha / Diabetes (Prameha),madhumeha / prameha
ED-8,Vatarakta,vātarakta
EE-3,Arsha (Haemorrhoids),arṣa
EA-3,Kasa (Cough),kāsa
EA-4,Svasah / Shwasa (Asthma),svasah / śvāsa
EC-3,Jvara (Fever),jvara
EC-5,Pandu (Anemia),paṇḍu
ED-4,Kushta (Skin diseases),kuṣṭha
ED-4.3.6,Dadru-kushta,dāḍru-kuṣṭha
ED-4.4,Dhatugata Kushta,dhātugata-kuṣṭha
ED-5,Shwitra (Vitiligo),śvitra
EF-3,Medoroga (Obesity / lipid disorders),medoroga
AAB-6,Ardita (Facial palsy),ardita
AAB-52,Pakshaghata / Pakshavadha (Hemiplegia / Stroke),pakṣaghāta / pakṣavādha
AAB-75,Mutranigraha (Urinary retention),mūtranigraha
AAB-51,Niramavata,nirāmavāta
AAB-72,Bhrama (Dizziness),bhrama
AAB-63,Badhiryam (Hearing loss),bādhiryam
AAB-70,Mohah (Delirium/Confusion),mōha
AAB-73,Manyastambha (Neck stiffness),manyāstambha
AAB-56,Padabramsha (Foot degeneration),pādabhramśa
AAB-57,Parushy (Roughness),paruṣya
AAB-66,Bedah (Ulcer / fissure),bēdaḥ
AAB-11,Akshibedah (Eye pain),akṣibēdaḥ
AAB-12,Akshivydasah (Eye discharge),akṣivyudāsaḥ
AAB-24,Kampa / Vepathu (Tremor),kampa / vepathu
EA-2,Hikka (Hiccup),hikka
AAB-39,Janubedah (Knee pain),jānubhēda
AAB-55,Padasulah (Foot pain),pādaśūla
AAB-49,Nakhabedah (Nail pain),nakhabēda
AAB-37,Grudhrasi (Neuralgia),gr̥dhrasī
AAB-44,Tvaksunyata (Skin pallor / atrophy),tvakśūnyatā
AAB-62,Pralapakah (Incoherent speech),pralāpaka
AAB-78,Lomaharsha (Piloerection),lōmaharṣa
AAB-92,Muktavata (vata release),muktavata
EC-7,Other fever subtypes,(various) 
